STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GRC,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Greece,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,13126.274482751562,13823.909438342811,14129.56761727404,14149.578271178532,14667.101004795599,15217.801962968148,15778.40202972253,16630.4781484617,17433.582976767462,17758.005574280065,18819.854432011674,20303.93124334287,21985.2345411071,23252.611136202795,24825.57353475117,25003.829746693318,28076.124141639237,28895.874926557997,30440.97090590812,29963.39688751077,27838.736390859962,25692.574085132084,24582.97419575074,25730.880900666445,26450.18132672596,26607.72567969757,27504.549798494816,28681.68155850046,29792.05925195854,31927.379215136873,29533.08774029898,33531.155112259956,39612.44063779162,42710.50580103135,44327.209780827565
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ROU,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Romania,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5280.243569777218,4795.105057537974,4515.00815996324,4699.083217139521,4995.385301734629,5429.012530379424,5745.6733784576445,5564.348723015231,5544.665819254,5596.449018973917,5850.084878807026,6519.888579512898,7162.2938262766775,7559.416250511614,8989.317838046041,9602.124403747399,11554.079243912425,13702.753773351873,16782.033488468893,16640.795185309365,17354.674847671267,18803.86788108611,19807.598449002617,19678.110893075514,20632.99243903621,21624.561815290937,23905.1743665679,26943.30854198846,29382.756747940653,33425.32617266602,34193.83745218679,37534.15591769115,41979.25867670866,45981.602778522174,49076.53993831378
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OSS,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Other small states,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,7124.03733504208,7240.8583630743,7178.621272367368,7355.430570167935,7647.508390538692,8078.797443974616,8337.328392292036,8902.028301999293,9053.575902384178,9372.709320663951,10096.742838163886,10537.762780870069,10969.893973077704,11527.515478215291,12182.702442969308,12874.394662416094,14060.413980785857,15107.683134440218,15638.127122468308,15123.311295024389,15549.299313051168,16366.54971875356,16757.678584284695,17079.37436331086,17518.282420199437,17473.96525018988,18472.718823204643,19670.001534782088,20713.51594745987,22389.655272784406,21293.92822328847,23596.40337472373,26359.441079287895,28037.08716937247,29352.55575094861
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COL,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Colombia,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5109.420001161326,5280.777797733777,5509.364649115449,5826.183444213361,6173.6361147921925,6505.565262212875,6638.839736255997,6861.091863584391,6853.841440170333,6543.8672116341,6775.93064418811,6934.882843385929,7108.823902859304,7420.460083652809,7909.34635155695,8432.333290783145,9154.089261965108,9909.290314037667,10307.064987885446,10367.348955751866,10841.127980131167,11707.46146247471,12093.075493917153,12779.886581831845,13355.362416219545,13332.055504821143,14026.839993105268,14400.6139849314,15239.404948827652,16181.590899066174,15519.210169465632,17383.090172829532,20854.002999162018,21246.376269520082,22349.436440122994
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ABW,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Aruba,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,21732.85831481083,23099.94008534198,23889.045017862474,24575.660659642737,25791.04317909592,26254.742803767473,26004.495627638906,27240.80278928079,27412.755193074834,27765.65325760258,30245.7069739274,31920.239073231827,31888.508736959804,32507.084314832755,35059.27309757124,35098.79766914248,35937.594655646986,37768.566014235206,38904.99924846443,34339.93915595293,33729.51191050278,35324.07206433249,34095.647171441604,35901.64596055832,35657.28719705296,35972.859661930415,36117.53526198345,37524.91492035574,39287.0597126122,38543.90729360408,28854.59729978639,35104.78680353744,41758.895756654405,46574.35741976531,50649.301523221184
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BFA,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Burkina Faso,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,566.9441472918228,623.2680017084701,623.3849952925497,644.0354643609901,649.8424075987377,683.6391515811947,753.3091667403099,793.9708414354864,838.0793552900107,886.4340906509029,896.4774815108148,947.9193746769527,973.9839333832176,1037.8379937465252,1079.0000914275126,1171.7643231958748,1244.0024384431906,1290.499510174245,1351.3604156913304,1359.6922490730215,1449.4221638292095,1531.3433824398164,1571.8388447731454,1642.8921312577647,1661.3177379375693,1691.5793538740807,1881.7589313440665,2042.4029525991662,2073.3235382155035,2232.1628201658523,2380.722827818022,2486.4309314776174,2645.2406799661094,2759.3020548460527,2895.8915203366482
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,KWT,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Kuwait,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,30763.066931326026,23390.4236061991,36149.18348125657,48481.76037636725,53945.588123853966,57163.34915699596,56912.69613571398,57419.93210669579,58343.788127766195,56406.468524302756,58702.8672675608,58552.78386068334,59713.17216589564,69752.38411024686,77226.63676233935,84968.01975700729,89075.22451945955,91434.90438453134,90337.3567922745,80110.06980719735,75184.08659247814,79036.78574411818,82089.72613314496,76812.53873304493,68336.59915331121,45267.30853474518,41862.173925550545,46565.549950455366,51370.73205952523,50703.0001343301,41461.7235642777,50651.95753370912,55043.002263584945,53025.47108580635,52443.59692236262
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Armenia,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,2760.2495002461383,2476.6030920512667,1491.6126717429527,1440.3936776611285,1591.4788351410339,1766.910147612339,1921.5499890479618,2039.7883227803484,2239.427583180442,2376.519169465781,2530.74394657194,2844.3626636700888,3282.1170633736897,3836.2255676867285,4377.227596825513,5172.218921029502,6072.759244798545,7136.754055199534,7827.316667464942,6811.6924795958075,7095.212679790087,7624.2677262690495,8942.635378971643,9454.878528365565,9736.234974627896,9756.84084836026,10570.272041393568,12066.004309381942,12877.493754355326,14975.753953815694,14706.317304342227,15921.705281964018,19161.370051418886,21534.030536117025,22823.17952556931
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BGD,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Bangladesh,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,940.6544708389296,987.3131994481919,1044.8918861306176,1099.3858880379782,1145.1101660870004,1206.3664670518608,1260.754895215199,1315.4692332913642,1372.9538393470705,1429.9864525184983,1511.9050058884418,1597.5874061443494,1658.8023093456875,1746.127257822981,1861.5125628545475,2019.7383956343126,2195.2948546099356,2388.1002516035733,2554.857882387191,2675.2594592678533,2833.6954436886417,3051.269832718111,3434.2781509044744,3691.1043110211667,3972.5064773349054,4212.235780894276,4579.13228682862,4882.606926156391,5490.158818651793,6047.124015041252,6640.584373310621,7441.069139612541,8450.549025339405,9147.777506655502,9646.769843832548
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TCA,WB_WDI_NY_GDP_PCAP_PP_CD,_T,_T,_T,PPP,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,"GDP per capita, PPP (current international $)",0,WB_WDI,PU,A,Annual,Turks and Caicos Islands,"GDP per capita, PPP (current international $)",Total,All age ranges or no breakdown by age,Total,Purchasing Power Parities,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,,,,,,,,,,,,,,,,,,32002.545934528465,33827.51001413072,26269.977356972675,25811.887713091775,26572.526947005394,23610.474221960987,23931.68929821327,25546.292732087175,27484.641443249922,29780.578577442175,30097.355056098655,31151.474857446385,31173.379781174295,19530.025407561257,25056.488051556884,30220.82401381341,35336.74035114489,37954.38765434712
