STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,TEA,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,East Asia & Pacific (IDA & IBRD),GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,5251.222109420474,5707.289156659647,6242.038217783538,6797.497859340018,7353.2633073445395,7893.946931025664,8308.984763247858,8279.148440818793,8666.46958022167,9182.44512188685,9672.897189743504,10315.462335400356,11070.942567752865,11864.013241625706,12831.926823803951,13974.884766889665,15393.139183216439,16524.04826919715,17606.52183535274,19095.43600126367,20413.783232876453,21793.7024908769,23276.84648679047,24710.449438880576,26225.89375735107,27795.899175557373,29552.29269954653,31286.564932445515,33028.39460065674,33922.43710699123,35715.56176392947,37092.08828074659,38611.78668753667,40382.48567240577
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,BGR,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Bulgaria,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,36320.322526248194,35553.00655270416,35957.70004331417,35343.450677705034,35941.35237983219,38740.072788688114,33964.46893475757,34985.766760730454,32940.76608413068,35600.831919742224,38080.176484343385,40477.42296773359,41210.33369451701,42547.32702087073,45429.65628898159,46420.05670205928,47310.45803053849,48671.283535919734,48660.07726700479,52293.49216782583,55345.84949969458,56092.07728376963,56624.78103246556,56928.08428294759,57927.95587564345,60519.17660785979,59817.375169775914,61624.26963054959,62871.53830661692,63044.741259255185,69113.81070227384,69958.49305114661,71155.81486562519,73620.24939627589
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LUX,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Luxembourg,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,206422.9739344955,205698.14179727616,215178.86963155956,224159.50860926934,231340.68195727997,229691.06971886134,236330.3710200409,248960.93278501384,260894.9106684866,269604.3833174352,273507.15270692244,276477.5249677458,286871.9073229546,293339.99208939663,289584.4321545461,302164.4855704095,318423.1678036299,313994.59882138664,288234.20528602356,292710.0303503039,291198.56990576553,281180.4091381833,284406.9820385328,282330.39506438276,279422.32209559064,289159.8046524409,283681.96630870644,280096.1608390257,278531.9503992803,275813.63269045705,280240.20743089396,271034.1599856576,264830.72179264686,264495.3812674818
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CPV,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Cabo Verde,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6419.679912562913,6963.995094959557,7399.897992450158,8605.57495731391,9620.132045670458,10487.611217554142,11432.048909276578,12599.148775187892,13714.356898177271,15301.12634960002,15277.295101630682,15685.556085765478,15969.095052294231,17150.992325671075,17914.86100821434,18911.853269654606,21309.841391414568,22361.69015093347,21659.737219856146,19747.568770988153,20242.20114648763,20240.88025480377,20211.98578436486,20247.780610807135,20364.56846349508,21192.97814148763,22146.964010060678,24408.240337243267,25208.26258266382,21453.992528761537,22342.498517095482,23955.229029737387,24755.97919521858,26130.304443867342
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LSO,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Lesotho,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,4197.0542328747515,4406.723882716857,4488.1207256944845,4679.071707623059,4763.92939446653,4950.264227439748,5073.147938997883,5098.526369823782,5090.224301227285,5274.123412511904,5457.067016650353,5509.426307980236,5786.8836225252035,5939.3747318052765,6206.850477581765,6516.431497926411,6778.975310979416,7139.1540755335,7069.550325470165,7436.7803673120015,7779.480812953465,8227.309648215518,8376.389802794378,8604.525158707322,8965.272140113166,9352.657159546457,9144.346727361763,9089.595901398787,9051.900382622453,8419.12697058733,8474.372048712188,8219.123164762266,8218.432589029437,8324.022971195487
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Indonesia,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,12329.328367346963,12744.188569645607,13379.196111122335,14013.338967838774,14827.487873166701,15640.684986915498,16093.851760416695,13654.65181864823,13532.073969531242,13753.383889270957,14109.489618714131,14805.778453662997,15311.725854211425,15910.663124920038,16978.3860201802,17589.890711308064,17939.378830834845,18504.48826565075,18928.139115670332,19533.782583343618,20220.222299877103,20802.930939406666,21814.201847059387,22556.46501517265,23462.121106966097,24358.598813057743,24981.548961260596,25734.22429502765,26238.37149568051,25884.27877405972,27058.710475310698,27580.802147797705,28576.919030502377,29635.864811611096
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,LAC,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Latin America & Caribbean (excluding high income),GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,33791.11056186139,33645.58124201738,34072.69367332949,35136.19678010254,34882.84017424106,35819.84803205626,36369.31180577374,36639.287727866664,36277.973843917775,36896.65756000048,35993.695754503104,35420.18040553231,35344.36301649231,36031.892758024616,36427.46553487173,37283.43308454448,38504.00732095354,39130.740482189125,37777.2849334305,39681.19506066703,40812.22422185222,40887.98517790937,41529.131610536824,41574.54162347798,41252.01841389603,41055.251647924924,41302.171273640655,41167.45598341757,40660.230592718995,41047.48788869919,41253.46270268594,40821.046121760264,40969.51252514805,41375.552563095276
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHL,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Chile,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,32732.60041933277,34773.20764959724,36073.9014654211,37476.918632065885,39112.4414421219,41894.40566676805,44077.064083053396,45081.7267171349,46150.294588095574,47850.12732540394,49216.24548244964,50224.31917642232,50947.53515247555,53264.9558943667,54539.6785704059,55490.60402543894,56522.23037192869,57058.90102830201,56996.14661360536,55677.19890622952,56347.41340424483,58561.20981241176,59294.76877668843,59510.42600782859,59739.35900355331,59993.183730546945,59228.26798652079,60250.571777030746,59490.61612277287,64093.56950773877,68026.39443311356,65161.274805402194,63928.45625334167,65020.99666678935
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,SLE,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Sierra Leone,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,7781.276291230661,6441.458543330433,6552.563568208275,6409.999892512274,5888.640161697283,5969.487157735921,5554.192331143986,5598.446511388624,5468.871650676285,5693.094061129677,5032.618186332169,5996.645569389121,6302.423098001278,6309.581937307921,6508.006850098752,6732.112529660992,6925.043748028549,7097.907232922526,7111.70075740924,7463.018086353715,7966.817554571673,8693.361581138428,9836.561379574863,8964.30762880037,8428.953240804592,8793.563387739026,8879.658075992147,8927.354594656723,9163.548615297721,8897.154421824649,9111.531711494916,9220.553647694955,9478.443325553717,9654.47299995349
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,GIN,WB_WDI_SL_GDP_PCAP_EM_KD,_T,_T,_T,PPP_K_2021_PS,_Z,_Z,_Z,_Z,CUR,2,WB_WDI,P1Y,GDP per person employed (constant 2021 PPP $),0,WB_WDI,PU,A,Annual,Guinea,GDP per person employed (constant 2021 PPP $),Total,All age ranges or no breakdown by age,Total,"PPP dollars, 2021 constant prices per person",Not Applicable,Not Applicable,Not Applicable,Not Applicable,Currency,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public,6041.19329329093,6051.8469313283,6172.513324943222,6233.479007240289,6345.506032055186,6451.35660373578,6669.750197009153,6812.779842522814,6928.992062223497,6988.208778784597,7182.624582097407,7452.767886081819,7448.2443616521605,7536.515199613669,7697.6888082537325,7706.345281339926,8097.8859773865315,8292.786251083116,8073.680451094575,8331.623651538985,8648.053442204535,8983.335200818205,9192.03713079784,9386.292727739927,9592.783494842357,10426.571396165993,11290.327942574824,11810.476437375377,12297.997835890994,12749.859888295487,12981.132948536488,13056.118439701255,13410.776131362947,13790.532239940101
